Entity,Year,nox,so2,co,oc,nmvoc,bc,nh3,nox_per_capita,so2_per_capita,co_per_capita,oc_per_capita,nmvoc_per_capita,bc_per_capita,nh3_per_capita
Wallis and Futuna,1971,42.660105825585,3.7392421876344,409.375657242921,38.0642958658633,127.84706376601,7.3388716214149,80.9747176568842,4.8008221725844,0.420801506598515,46.0697341034122,4.28362546318516,14.3874706016217,0.825891472137621,9.11261733703401
Wallis and Futuna,1972,41.365569492474,3.6051035894082,397.498639364528,36.8581324212869,124.925578540821,7.1461686737461,81.7881686947428,4.63531706549462,0.403978438974473,44.5426534473922,4.13022550664353,13.9988321986577,0.800780891275897,9.16496735709803
Wallis and Futuna,1973,40.3987427981036,3.5056828522174,389.461995400487,36.0079417696304,123.177829542925,7.0222686881515,82.5784656157409,4.49124433553125,0.389736837378255,43.2976092718718,4.0031063668294,13.6940333010478,0.780685790789494,9.18048533804791
Wallis and Futuna,1974,39.7972859255627,3.4416365739312,384.894735200286,35.492718083081,122.38856431818,6.9599795774275,83.3076821643577,4.36134640280139,0.377165651937666,42.180244953456,3.88961294061162,13.4124454047321,0.76273748793726,9.12960900431317
Wallis and Futuna,1975,39.3584089743243,3.4083787047102,384.105778065546,35.3152148097208,122.846254647963,6.9669704918648,83.4815606580275,4.22300525475583,0.365705869604099,41.2130663160457,3.78918613838206,13.1809286102965,0.747529022732275,8.95724899764244
Wallis and Futuna,1976,39.3978967434224,3.4185837127086,388.648468661523,35.6433518948404,125.057125911752,7.0609272447343,83.8937398565529,4.10951254234092,0.356585346063273,40.5391122000128,3.71788379001152,13.0444483062222,0.736510612781298,8.75078125133545
Wallis and Futuna,1977,39.9467444851667,3.4597108098271,396.282578439531,36.2687005603096,128.155935208746,7.2104169927174,89.809282164186,4.0277016016502,0.34883149927678,39.9558961927335,3.65685627750651,12.9215502327834,0.727003124895886,9.05518069814338
Wallis and Futuna,1978,42.5825035118793,3.5268364948187,407.669915393935,37.2153780749766,133.386709412764,7.4302407103716,134.731201668144,4.12941267570591,0.342012848605382,39.5335449373482,3.60893891339959,12.9350959477079,0.720543125520908,13.0654772758092
Wallis and Futuna,1979,43.2495669232383,3.6150408354706,422.1525534676,38.423047777462,139.326706053635,7.7093331510297,136.461227880733,4.02246716175952,0.336220315798977,39.2627002853051,3.57357215192169,12.9582129886193,0.717013871933566,12.6917064621217
Wallis and Futuna,1980,44.0844954447556,3.6965639770591,436.63548772863,39.6119057306831,146.032084212588,7.9892045178938,135.828731702732,3.92420290588887,0.32905144891037,38.8673213217581,3.52607314675833,12.9991173413377,0.711162944444882,12.0908609313452
Wallis and Futuna,1981,44.7873188239497,3.7727211790616,450.151741583715,40.6840716592172,151.44319533869,8.2560179523527,142.409348986271,3.81038955453035,0.320973386001497,38.2977489861932,3.46129587027541,12.8843964045168,0.702400710596622,12.1158200600877
Wallis and Futuna,1982,45.5580316547792,3.8430587325905,463.330254417995,41.7110674423315,156.818596854921,8.51764958361,152.158772453865,3.70450737150587,0.312494611529558,37.6752524327529,3.39169518965129,12.7515528423257,0.69260445467637,12.3726437188051
Wallis and Futuna,1983,46.3979111033446,3.9077392193382,476.56532834891,42.7329059748569,162.748720098739,8.7873104955895,160.479098225411,3.61410742353518,0.304388473230893,37.1214619371327,3.3286264196025,12.6771085915827,0.684476592583697,12.5003192261576
Wallis and Futuna,1984,46.8529510686977,3.935169512121,484.633743663312,43.290824140236,167.129718992776,8.9556604091786,172.583578395047,3.52569426357873,0.296122320123486,36.4687894998354,3.25764347507232,12.5765459397077,0.673915299057762,12.9869499883398
Wallis and Futuna,1985,47.2142351801354,3.9423165684687,492.259173292961,43.7450167052771,171.751382012867,9.1193446428163,181.147659090715,3.46526496734939,0.289344335300455,36.1291136361806,3.21064342791025,12.605606019293,0.669309698555325,13.2952410341809
Wallis and Futuna,1986,46.5495298764623,3.9123476114202,495.460966648276,43.7911852117691,174.861786630795,9.2049922358832,183.110209710178,3.37071179409575,0.283298161580029,35.8769707927789,3.17097648166322,12.6619686191741,0.666545418963302,13.2592476256465
Wallis and Futuna,1987,46.0249109809062,3.847425759234,492.216486764335,43.3639840596525,175.533286306444,9.181353818464,185.960944883516,3.31758891234096,0.277331922384055,35.480176368798,3.12578274775842,12.6528714990589,0.661814590821308,13.4045228057029
Wallis and Futuna,1988,44.8803958043303,3.7434228084359,482.981635136963,42.4014783999285,173.873483029984,9.032102806359,187.399715242583,3.24092979522894,0.27032227097313,34.8773566678916,3.0619207394518,12.5558552159145,0.652231571805243,13.5326195293604
Wallis and Futuna,1989,43.3724293286382,3.6233192968315,469.62555095433,41.1596889045583,169.852522876089,8.8095132145461,186.816060207978,3.14110872889906,0.262407249191157,34.0111204341201,2.98085811881216,12.3010228038883,0.638000667333872,13.5295524484341
Wallis and Futuna,1990,43.0055975254257,3.5574404368259,461.425840704315,40.5676406592865,167.77661824532,8.7272701964161,190.499403250407,3.11770316988732,0.257897668321437,33.4511991231198,2.94096278521723,12.163014226861,0.632685964652465,13.8103090655652
Wallis and Futuna,1991,41.7733496736767,3.4317006412596,443.278308368125,39.1691598965163,162.064690306378,8.4319692726504,193.512183880656,3.02201762813258,0.248260192524025,32.0681695990831,2.83362221634351,11.7242776753511,0.609995606789438,13.9992898705531
Wallis and Futuna,1992,40.8287584824743,3.306608552159,424.322714104394,37.695603500118,155.81596515704,8.1095252592573,197.856277984576,2.94303744557589,0.238348486423917,30.5862260581269,2.71719191956448,11.2315984399222,0.584554549070663,14.2619677059451
Wallis and Futuna,1993,39.8352824529596,3.2030143612181,408.600392536256,36.4865782402359,150.742681889331,7.8464916077767,198.794915378779,2.8545526659233,0.229524497400079,29.2798561473491,2.61458819349594,10.8020553127432,0.562270985867195,14.2454256810304
Wallis and Futuna,1994,38.9235524900357,3.1037798581443,393.6479508664,35.3346298111535,145.477570288712,7.5965419015632,199.737514740681,2.76917704112377,0.220815300095639,28.0056880240751,2.51384674239851,10.3498555982294,0.540448342456118,14.210124839263
Wallis and Futuna,1995,38.0340273866767,3.0067409078139,380.122317661875,34.2678244168415,140.907160225871,7.3730138724259,201.494447076541,2.68848712707123,0.212535584068276,26.8694647389464,2.42226793078685,9.96021490251438,0.521171546789136,14.2429099509819
Wallis and Futuna,1996,38.113439540372,3.0781161030678,405.844444000021,36.3357721389904,153.428857047476,7.9904884467167,202.618005075891,2.67368919960519,0.215932381835693,28.4703222728882,2.54898436611648,10.7631607890197,0.560539350874549,14.2138200684596
Wallis and Futuna,1997,37.8117725804654,3.0484580760603,398.886577509498,35.9901488080814,150.748446754023,7.9170250783022,203.63455702824,2.63478312176611,0.212421299983297,27.79503710609,2.50784954414894,10.5043862277209,0.551670620744352,14.1895726449892
Wallis and Futuna,1998,37.6184612326236,3.0260502628858,393.026870242974,35.7339425485587,148.484654786439,7.864578977684,204.739535379041,2.60101370618984,0.2092270111931,27.1746435900556,2.47071441253949,10.2665183424213,0.543772314020881,14.1560903947342
Wallis and Futuna,1999,37.5387837816994,3.0149197696611,389.153912385988,35.6626342348034,147.004791768284,7.8572162540006,205.40109150398,2.57467652823727,0.206784620690062,26.6909404928661,2.44599686109763,10.0826331802664,0.53890372112487,14.0878663582977
Wallis and Futuna,2000,37.5120736133362,2.9891997777793,381.94429446054,35.2939083816625,144.047045765648,7.7704709233264,207.262055653614,2.55236263273703,0.203388431501619,25.9879087201837,2.40143623744046,9.80111898793277,0.528711364450323,14.102337596354
Wallis and Futuna,2001,102.235978215965,94.1536445318519,502.610296849593,35.6899735996261,156.598391550085,10.0805709277476,206.868508063024,6.8915388079518,6.34672359500181,33.8800334917151,2.40579532184874,10.5560088675487,0.679512701567078,13.9446247430417
Wallis and Futuna,2002,144.91012481407,172.117339032426,556.355309713399,35.7800388443778,159.691719883213,11.5204640896327,208.044649273529,9.66647487252818,11.4813780956858,37.1126215538256,2.38676798374877,10.6525061625784,0.768492034529564,13.8779700669421
Wallis and Futuna,2003,141.732122528984,173.430407788196,539.627898189695,35.0085286424226,153.035417131963,11.0263561477016,208.339736427452,9.38747665445649,11.486978923579,35.7416808974497,2.31875272502468,10.1361383714375,0.730318992429567,13.7991612417176
Wallis and Futuna,2004,139.643996329366,160.251847147686,499.639144009715,34.4237318474361,143.601509101726,11.1326117482428,207.519531675245,9.24978448230549,10.6148140125645,33.0952602510244,2.2801703548676,9.51192350147221,0.737405560591031,13.7457462857021
Wallis and Futuna,2005,143.834758324292,171.478256710894,504.205128235408,33.8136926503674,139.052816197599,11.0532759133865,207.304731147897,9.62942748371775,11.4801002015729,33.7554480977042,2.26375394325282,9.30928675086021,0.739993031625259,13.8786055531832
Wallis and Futuna,2006,145.71623812977,162.628049231916,488.80232705162,33.3176731689717,133.378749189471,11.3290481429722,207.710063188336,9.97578134659889,11.133569468879,33.4635672658054,2.28093880803531,9.13115281642165,0.775590343189717,14.2198988969902
